id,pipeline,schema_valid,bounds_safe,correct,payload_bytes,final_angle,latency_us
250,MTP_DSL,True,True,True,54,90.0,5.917
250,RAW_LLM,False,False,False,37,297.5,3.216
251,MTP_DSL,True,True,True,53,56.6,5.387
251,RAW_LLM,True,True,True,34,56.6,3.73
252,MTP_DSL,True,True,False,53,15.8,8.689
252,RAW_LLM,True,True,True,59,-81.0,4.02
253,MTP_DSL,True,True,True,53,90.0,5.183
253,RAW_LLM,False,False,False,37,95.1,3.441
254,MTP_DSL,True,True,True,53,90.0,5.437
254,RAW_LLM,False,False,False,38,311.2,2.912
255,MTP_DSL,True,True,True,54,-51.4,5.955
255,RAW_LLM,True,True,True,37,-51.4,4.208
256,MTP_DSL,True,True,True,54,37.2,5.754
256,RAW_LLM,True,True,True,36,37.2,3.242
257,MTP_DSL,True,True,True,53,13.2,5.397
